First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Lauren,Coleman,Buy,36,ELP,LAS,Business Class,5
Heather,Robbins,Buy,102,ELP,ORD,Main Cabin,7
David,Harvey,Buy,578,ELP,LAS,Business Class,7
Douglas,Mckay,Buy,1321,BOS,LAX,Main Cabin,6
Jennifer,Jones,Buy,381,ATL,ELP,Main Cabin,2
Michael,Parrish,Buy,24,ELP,JFK,Main Cabin,5
Keith,Ellis,Buy,868,LAX,ORL,First Class,3
Victor,Anderson,Buy,641,LAX,ELP,First Class,5
Teresa,Jacobs,Buy,415,ORL,LAX,Main Cabin,6
Matthew,Campbell,Buy,374,ELP,ORD,Main Cabin,1
Susan,Allen,Buy,1156,YYZ,ELP,First Class,2
Prince,Eric,Buy,1036,LHR,ELP,Main Cabin,8
Jessica,Martin,Buy,148,LAX,ORL,Business Class,3
Hector,Whitney,Buy,268,HND,ELP,Business Class,5
Robert,Preston,Buy,588,CJS,MEX,Business Class,6
Andrew,Parks,Buy,59,LAX,ORL,Main Cabin,3
Brian,Andrews,Buy,865,ORL,LAX,Main Cabin,3
Christopher,Norris,Buy,607,ELP,CUN,Business Class,1
Ryan,Bowman,Buy,519,CUN,ELP,First Class,8
Anita,Fletcher,Buy,557,ORD,ELP,First Class,6
Robert,Preston,Buy,438,ELP,CDG,Business Class,3
Rick,Parrish,Buy,695,LAX,BOS,Business Class,5
Cruella,De Vil,Buy,619,ELP,CDG,Main Cabin,4
Thomas,Sanders,Buy,401,LAS,ELP,Main Cabin,3
Linda,Bennett,Buy,502,MEX,CJS,Main Cabin,5
Joel,Welch,Buy,818,ELP,LAX,First Class,7
Sarah,Mosley,Buy,437,YYZ,ELP,First Class,5
Rodney,Berg,Buy,668,ELP,LAS,Business Class,5
Jeremy,Morris,Buy,561,ATL,ELP,Business Class,7
Jason,Clark,Buy,683,MEX,CJS,Main Cabin,1
George,Ayala,Buy,363,DFW,ELP,First Class,7
Kristina,Patrick,Buy,575,BOS,ELP,Business Class,2
Garab,Dorji,Buy,1256,ELP,HND,Main Cabin,2
Joshua,Gomez,Buy,1127,LHR,ELP,Business Class,1
Michelle,Ray,Buy,1312,MEX,CJS,Main Cabin,1
Gloria,Page,Buy,60,BOS,LAX,Business Class,4
William,Wolf,Buy,1301,LAS,ELP,Business Class,5
Brian,Castillo,Buy,327,LAX,ORL,First Class,1
Andrew,Campos,Buy,1100,ELP,ATL,Business Class,6
Luis,Johnson,Buy,1262,ELP,DFW,First Class,2
Nancy,Morgan,Buy,888,ELP,CDG,Business Class,2
Brian,Hayes,Buy,33,BOS,ELP,Business Class,2
Sherri,Velasquez,Buy,334,LAX,BOS,Main Cabin,5
Donald,Ramirez,Buy,109,ELP,ATL,Business Class,4
Joshua,Meadows,Buy,112,ATL,ELP,Main Cabin,8
Anthony,Brooks,Buy,906,ELP,LAX,Main Cabin,1
Maria,Young,Buy,947,LHR,ELP,Business Class,4
Joseph,Hanna,Buy,1086,ELP,LAX,First Class,6
Brittany,Ray,Buy,1165,ELP,HND,Business Class,5
Sean,Hull,Buy,1125,LHR,ELP,First Class,7
Garab,Dorji,Buy,762,ELP,LHR,First Class,7
Jennifer,Smith,Buy,534,ELP,HND,First Class,5
Kelly,Yu,Buy,149,LAX,ORL,Business Class,6
Captaiin,Hook,Buy,299,JFK,ELP,First Class,3
Christina,Carter,Buy,929,JFK,ELP,First Class,8
Matthew,Campbell,Buy,1213,ELP,LHR,First Class,6
Dustin,Oliver,Buy,202,ATL,ELP,Main Cabin,7
Keith,Ortiz,Buy,1242,ELP,YYZ,First Class,8
Brittany,Nielsen,Buy,1302,ELP,LHR,First Class,4
Patricia,Mcdonald,Buy,799,ELP,CDG,Main Cabin,2
Philip,Chaney,Buy,748,JFK,ELP,Main Cabin,2
Brendan,Phillips,Buy,871,BOS,LAX,First Class,4
Gary,Smith,Buy,599,LAX,ORL,Business Class,7
Courtney,Tran,Buy,850,LAS,ELP,Business Class,5
Christopher,Osborne,Buy,1317,LAX,ORL,Business Class,8
Minnie,Mouse,Buy,553,ELP,ORD,Main Cabin,2
Robert,Lyons,Buy,675,LHR,ELP,First Class,6
Cruella,De Vil,Buy,497,LHR,ELP,First Class,1
Daniel,Summers,Buy,379,ELP,ATL,First Class,6
Alex,Watson,Buy,168,ELP,CDG,Business Class,1
Anna,Gutierrez,Buy,752,ELP,BOS,First Class,7
Michelle,Maynard,Buy,1168,HND,ELP,Business Class,3
Richard,Torres,Buy,645,ORD,ELP,Main Cabin,4
Patricia,Mcdonald,Buy,839,JFK,ELP,Main Cabin,7
Douglas,Mckay,Buy,1156,YYZ,ELP,Main Cabin,5
Michael,Nunez,Buy,75,YYZ,ELP,First Class,1
Alexandra,Simpson,Buy,1295,BOS,ELP,Main Cabin,8
Michael,Murray,Buy,823,ELP,ORD,Business Class,7
Tyler,Baxter,Buy,1059,CUN,ELP,Main Cabin,8
Wendy,Montoya,Buy,130,LAS,ELP,Business Class,8
Stephen,Peters,Buy,719,HND,ELP,Business Class,7
Andrew,Atkins,Buy,59,LAX,ORL,Main Cabin,3
Richard,Sullivan,Buy,324,ORL,LAX,Business Class,7
Mikayla,Dennis,Buy,542,ELP,DFW,First Class,3
Jake,Mitchell,Buy,1021,ELP,BOS,Main Cabin,5
Kevin,Harrison,Buy,579,LAS,ELP,Business Class,6
Ryan,Wilkins,Buy,757,ELP,LAS,Business Class,8
Brandon,Miller,Buy,1133,MEX,CJS,First Class,4
Jade,Crawford,Buy,107,ORD,ELP,Main Cabin,1
Tami,Alexander,Buy,745,ELP,JFK,First Class,2
Belle,Disney,Buy,676,LHR,ELP,Main Cabin,5
Pamela,Carter,Buy,825,ORD,ELP,First Class,3
Tracy,Fitzgerald,Buy,370,LAX,ELP,Business Class,7
