Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name
rickygardner,565,12484.89,Employee,Fun!23,Ricky,1/25/00,0,FALSE,Gardner
benjaminramirez,398,11703.53,Employee,Fun!23,Benjamin,4/12/00,0,TRUE,Ramirez
emmaarmstrong,338,7916.14,Employee,Fun!23,Emma,5/10/00,0,TRUE,Armstrong
gloriapage,304,2526.31,Employee,Fun!23,Gloria,6/5/00,0,FALSE,Page
jameshenderson,242,14542.96,Employee,Fun!23,James,6/16/00,0,FALSE,Henderson
victorross,604,8424.8,Employee,Fun!23,Victor,8/11/00,0,TRUE,Ross
sheriadams,585,3921.69,Employee,Fun!23,Sheri,8/20/00,0,FALSE,Adams
theresamacias,301,4867.44,Employee,Fun!23,Theresa,8/27/00,0,FALSE,Macias
erikalopez,623,5370.49,Employee,Fun!23,Erika,10/30/00,0,TRUE,Lopez
valeriemoore,349,12125.01,Employee,Fun!23,Valerie,12/31/00,0,FALSE,Moore
jenniferdavidson,879,3873.14,Employee,Fun!23,Jennifer,2/19/01,0,TRUE,Davidson
stevenmiller,919,12885.75,Employee,Fun!23,Steven,3/10/01,0,FALSE,Miller
georgewood,466,5891.03,Employee,Fun!23,George,4/17/01,0,FALSE,Wood
crystalhayes,827,5786.22,Employee,Fun!23,Crystal,8/1/01,0,FALSE,Hayes
terrencedixon,973,8436.37,Employee,Fun!23,Terrence,9/9/01,0,FALSE,Dixon
tylerevans,931,3265.38,Employee,Fun!23,Tyler,9/12/01,0,TRUE,Evans
jacobcontreras,629,9998.26,Employee,Fun!23,Jacob,9/30/01,0,TRUE,Contreras
kimberlyroberts,736,12478.6,Employee,Fun!23,Kimberly,10/11/01,0,TRUE,Roberts
gabrielasigalaacosta,80,6561.62,Employee,Fun!23,Gabriela,1/6/02,0,FALSE,SigalaAcosta
lisagaines,315,10253.32,Employee,Fun!23,Lisa,3/18/02,0,FALSE,Gaines
jasminedisney,10,3426.06,Customer,Fun!23,Jasmine,3/22/02,0,TRUE,Disney
barbaralove,897,3218.95,Employee,Fun!23,Barbara,4/9/02,0,FALSE,Love
patricklarsen,438,2435.54,Employee,Fun!23,Patrick,4/21/02,0,FALSE,Larsen
haleymoss,164,6002.38,Employee,Fun!23,Haley,5/8/02,0,FALSE,Moss
heidipage,558,12804.51,Employee,Fun!23,Heidi,6/1/02,0,TRUE,Page
jenniferguzman,726,3385.68,Employee,Fun!23,Jennifer,6/13/02,0,TRUE,Guzman
christinavillanueva,883,13365.43,Employee,Fun!23,Christina,6/16/02,0,TRUE,Villanueva
jamesnolan,200,4970.07,Employee,Fun!23,James,7/31/02,0,TRUE,Nolan
alexandrafox,463,4992.66,Employee,Fun!23,Alexandra,8/8/02,0,FALSE,Fox
marklee,222,9811.87,Employee,Fun!23,Mark,9/9/02,0,TRUE,Lee
kennethsmith,354,5932.42,Employee,Fun!23,Kenneth,9/25/02,0,TRUE,Smith
haydenmcdaniel,780,3276.08,Employee,Fun!23,Hayden,10/9/02,0,TRUE,Mcdaniel
bryanhardy,327,12293.88,Employee,Fun!23,Bryan,10/22/02,0,FALSE,Hardy
codyrobles,720,2919.75,Employee,Fun!23,Cody,12/1/02,0,FALSE,Robles
rodneymcneil,743,14969.36,Employee,Fun!23,Rodney,2/11/03,0,FALSE,Mcneil
patriciahughes,1015,6439,Employee,Fun!23,Patricia,2/27/03,0,FALSE,Hughes
josephmacdonald,589,4973.31,Employee,Fun!23,Joseph,3/11/03,0,FALSE,Macdonald
michellepruitt,535,2202.92,Employee,Fun!23,Michelle,5/18/03,0,FALSE,Pruitt
katherinemcdonald,951,11694.47,Employee,Fun!23,Katherine,6/22/03,0,TRUE,Mcdonald
susangarcia,278,5108.06,Employee,Fun!23,Susan,8/11/03,0,TRUE,Garcia
paulherman,943,5201.29,Employee,Fun!23,Paul,10/27/03,0,FALSE,Herman
joshuabanks,716,3030.01,Employee,Fun!23,Joshua,1/3/04,0,FALSE,Banks
philipchaney,458,6056.5,Employee,Fun!23,Philip,2/27/04,0,FALSE,Chaney
dennissmith,745,9084.32,Employee,Fun!23,Dennis,3/28/04,0,TRUE,Smith
alondragonzalezayala,53,4371.01,Employee,Fun!23,Alondra,4/12/04,0,TRUE,GonzalezAyala
erinmejia,797,9233.21,Employee,Fun!23,Erin,5/1/04,0,FALSE,Mejia
ambersellers,489,14707.16,Employee,Fun!23,Amber,5/3/04,0,TRUE,Sellers
bretthiggins,880,12099.21,Employee,Fun!23,Brett,5/22/04,0,TRUE,Higgins
nancyrobles,528,14507.61,Employee,Fun!23,Nancy,9/3/04,0,TRUE,Robles
jillsolis,430,5495.43,Employee,Fun!23,Jill,9/11/04,0,FALSE,Solis
davidgardner,146,11941.78,Employee,Fun!23,David,9/16/04,0,TRUE,Gardner
donnatravis,393,7046.12,Employee,Fun!23,Donna,2/8/05,0,TRUE,Travis
kristinapatrick,434,10440.99,Employee,Fun!23,Kristina,2/16/05,0,FALSE,Patrick
darinporter,251,10517.57,Employee,Fun!23,Darin,4/28/05,0,FALSE,Porter
davidjohnson,1003,7134.07,Employee,Fun!23,David,5/12/05,0,TRUE,Johnson
danielfoster,372,9765.82,Employee,Fun!23,Daniel,6/2/05,0,TRUE,Foster
bellaquintero,65,5818.66,Employee,Fun!23,Bella,8/29/05,0,TRUE,Quintero
tiffanymay,427,3804.06,Employee,Fun!23,Tiffany,9/17/05,0,FALSE,May
erikcase,244,14585.68,Employee,Fun!23,Erik,10/16/05,0,FALSE,Case
dianavalles,39,2484.87,Employee,Fun!23,Diana,10/27/05,0,TRUE,Valles
michaelmorton,521,4944.99,Employee,Fun!23,Michael,10/31/05,0,FALSE,Morton
amberconley,944,13882.93,Employee,Fun!23,Amber,12/7/05,0,FALSE,Conley
andrewmcclure,613,9537.31,Employee,Fun!23,Andrew,12/21/05,0,TRUE,Mcclure
courtneyolsen,1009,13060.42,Employee,Fun!23,Courtney,1/1/06,0,FALSE,Olsen
josephlewis,236,6471.9,Employee,Fun!23,Joseph,1/14/06,0,TRUE,Lewis
michellewood,481,8463.74,Employee,Fun!23,Michelle,3/9/06,0,FALSE,Wood
darrengibbs,612,4248.92,Employee,Fun!23,Darren,3/13/06,0,FALSE,Gibbs
lisapeters,860,7538.45,Employee,Fun!23,Lisa,3/25/06,0,FALSE,Peters
tyronejohnston,680,12694.42,Employee,Fun!23,Tyrone,7/11/06,0,TRUE,Johnston
tanyaturner,823,2607.1,Employee,Fun!23,Tanya,12/23/06,0,TRUE,Turner
christiansmith,224,3315.84,Employee,Fun!23,Christian,4/26/07,0,FALSE,Smith
emilybrady,439,13525.43,Employee,Fun!23,Emily,5/25/07,0,FALSE,Brady
jessicabarragan,45,7800.11,Employee,Fun!23,Jessica,6/21/07,0,FALSE,Barragan
jerrysmith,616,4846.93,Employee,Fun!23,Jerry,6/21/07,0,TRUE,Smith
joelwelch,562,5370.55,Employee,Fun!23,Joel,6/22/07,0,TRUE,Welch
princeeric,31,5257.78,Customer,Fun!23,Prince,7/11/07,0,FALSE,Eric
davidcosta,579,5741.56,Employee,Fun!23,David,11/20/07,0,TRUE,Costa
matthewerickson,261,6206.06,Employee,Fun!23,Matthew,11/23/07,0,TRUE,Erickson
annmiller,688,8539.17,Employee,Fun!23,Ann,12/30/07,0,TRUE,Miller
williehobbs,729,10310.26,Employee,Fun!23,Willie,3/7/08,0,TRUE,Hobbs
alyssapoole,675,12680.6,Employee,Fun!23,Alyssa,4/19/08,0,FALSE,Poole
juanbrock,839,10649.17,Employee,Fun!23,Juan,5/4/08,0,FALSE,Brock
brittanyhawkins,120,13786.13,Employee,Fun!23,Brittany,7/12/08,0,FALSE,Hawkins
ryanwilkins,446,12402.73,Employee,Fun!23,Ryan,7/17/08,0,FALSE,Wilkins
