ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
1,Mickey,Mouse,2/29/36,Customer,11804.35,0,true,mickeymouse,Fun!23
2,Donald,Duck,3/21/17,Customer,11582.71,0,true,donaldduck,Fun!23
3,Minnie,Mouse,11/23/42,Customer,9915.93,0,false,minniemouse,Fun!23
4,Goofy,Disney,6/10/34,Customer,12097.58,0,false,goofydisney,Fun!23
5,Pluto,Disney,8/5/95,Customer,11681.54,0,true,plutodisney,Fun!23
6,Chip,Disney,11/28/41,Customer,3297.92,0,false,chipdisney,Fun!23
7,Dale,Disney,10/8/50,Customer,4979.19,0,false,daledisney,Fun!23
800,Holly,Davidson,5/16/61,Employee,10461.2,0,false,hollydavidson,Fun!23
8,Cinderella,Disney,4/9/98,Customer,5270.44,0,false,cinderelladisney,Fun!23
9,Ariel,Disney,3/12/37,Customer,7988.21,0,true,arieldisney,Fun!23
801,George,Ayala,12/28/95,Employee,12543.23,0,false,georgeayala,Fun!23
802,Michelle,Oliver,11/12/85,Employee,5240.21,0,true,michelleoliver,Fun!23
803,George,Proctor,3/25/49,Employee,3938.51,0,false,georgeproctor,Fun!23
804,Michelle,Griffin,1/13/00,Employee,9719.06,0,true,michellegriffin,Fun!23
805,Michelle,Maynard,8/29/33,Employee,6112.53,0,false,michellemaynard,Fun!23
806,Elizabeth,Castillo,7/15/13,Employee,4725.51,0,false,elizabethcastillo,Fun!23
807,Jonathan,Martinez,11/7/60,Employee,11563.53,0,true,jonathanmartinez,Fun!23
808,Tanya,Johnson,2/7/49,Employee,4147.49,0,true,tanyajohnson,Fun!23
809,Megan,Thompson,6/15/45,Employee,4921.07,0,false,meganthompson,Fun!23
1000,Lori,Livingston,8/6/92,Employee,5242.76,0,true,lorilivingston,Fun!23
810,Emily,Estes,2/14/20,Employee,12741.07,0,false,emilyestes,Fun!23
811,Melissa,Johnson,1/25/73,Employee,10885.51,0,false,melissajohnson,Fun!23
812,Casey,Navarro,9/26/27,Employee,4981.31,0,false,caseynavarro,Fun!23
813,Shawn,Lee,12/28/19,Employee,10821.38,0,true,shawnlee,Fun!23
814,Brandi,Daniel,11/21/27,Employee,10082.62,0,false,brandidaniel,Fun!23
815,Jose,Smith,10/2/34,Employee,4725.67,0,false,josesmith,Fun!23
816,Alicia,Moran,6/5/21,Employee,14565.03,0,true,aliciamoran,Fun!23
817,Jennifer,Jones,3/20/53,Employee,7039.18,0,false,jenniferjones,Fun!23
818,Andrew,Norris,1/29/90,Employee,7723.17,0,false,andrewnorris,Fun!23
819,Maria,Young,12/24/45,Employee,9629.11,0,true,mariayoung,Fun!23
1011,Charles,Chambers,7/15/46,Employee,2464.51,0,false,charleschambers,Fun!23
1010,Beth,Moss,5/30/32,Employee,9545.93,0,true,bethmoss,Fun!23
1008,Laura,Williams,12/12/34,Employee,7755.39,0,false,laurawilliams,Fun!23
1007,Melissa,Holt,1/1/57,Employee,11119.64,0,false,melissaholt,Fun!23
1006,Elizabeth,Jackson,7/31/98,Employee,4956.91,0,false,elizabethjackson,Fun!23
1005,Tammy,Thomas,9/4/38,Employee,10198.99,0,false,tammythomas,Fun!23
1004,Joseph,Hanna,12/26/90,Employee,5729.71,0,false,josephhanna,Fun!23
1003,David,Johnson,5/12/05,Employee,7134.07,0,true,davidjohnson,Fun!23
820,Ann,Rogers,2/11/29,Employee,12803.39,0,false,annrogers,Fun!23
1002,Andrew,Hall,5/18/34,Employee,3678.04,0,true,andrewhall,Fun!23
821,Felicia,Carlson,10/3/48,Employee,9257.03,0,true,feliciacarlson,Fun!23
1001,Ryan,Peterson,11/5/94,Employee,9413.29,0,true,ryanpeterson,Fun!23
822,Chad,Green,12/28/26,Employee,4278.12,0,false,chadgreen,Fun!23
823,Tanya,Turner,12/23/06,Employee,2607.1,0,true,tanyaturner,Fun!23
824,Joseph,Fritz,7/26/65,Employee,10872.34,0,false,josephfritz,Fun!23
825,James,Simpson,5/17/51,Employee,3662.13,0,false,jamessimpson,Fun!23
826,Ernest,Bentley,3/24/77,Employee,8563.12,0,true,ernestbentley,Fun!23
827,Crystal,Hayes,8/1/01,Employee,5786.22,0,false,crystalhayes,Fun!23
828,Jessica,Lloyd,4/25/31,Employee,14448.44,0,true,jessicalloyd,Fun!23
1009,Courtney,Olsen,1/1/06,Employee,13060.42,0,false,courtneyolsen,Fun!23
829,Julie,Shaw,5/23/45,Employee,2800.76,0,true,julieshaw,Fun!23
1022,Bryan,Massey,5/17/52,Employee,9806.83,0,false,bryanmassey,Fun!23
1021,Mark,Butler,1/12/18,Employee,11675.92,0,false,markbutler,Fun!23
1020,Tonya,Elliott,11/2/73,Employee,10823.05,0,true,tonyaelliott,Fun!23
1019,Thomas,Stevenson,9/8/54,Employee,2225.34,0,true,thomasstevenson,Fun!23
1018,James,Mitchell,12/24/88,Employee,8409.78,0,true,jamesmitchell,Fun!23
1017,Kim,Craig,3/6/86,Employee,14739.9,0,true,kimcraig,Fun!23
1016,John,Sanders,5/5/94,Employee,3698.36,0,false,johnsanders,Fun!23
1015,Patricia,Hughes,2/27/03,Employee,6439.0,0,false,patriciahughes,Fun!23
1014,Austin,Lewis,1/8/81,Employee,11386.85,0,false,austinlewis,Fun!23
830,Mark,Thompson,4/2/82,Employee,6847.32,0,false,markthompson,Fun!23
1013,Carlos,Lynch,10/1/41,Employee,5442.93,0,false,carloslynch,Fun!23
831,Michael,Prince,4/3/81,Employee,13924.29,0,true,michaelprince,Fun!23
832,Craig,Fleming,3/3/09,Employee,12180.7,0,true,craigfleming,Fun!23
1012,Mikayla,Dennis,1/19/41,Employee,11562.54,0,true,mikayladennis,Fun!23
833,Michael,Williamson,5/3/15,Employee,4949.66,0,false,michaelwilliamson,Fun!23
834,Sarah,Stanton,1/6/26,Employee,13200.19,0,true,sarahstanton,Fun!23
835,Marcia,Snyder,4/29/93,Employee,14288.94,0,false,marciasnyder,Fun!23
836,Gary,Park,3/3/68,Employee,5535.53,0,true,garypark,Fun!23
837,Cynthia,Ellis,6/22/31,Employee,4739.7,0,false,cynthiaellis,Fun!23
838,Victoria,White,8/24/55,Employee,12747.56,0,true,victoriawhite,Fun!23
839,Juan,Brock,5/4/08,Employee,10649.17,0,false,juanbrock,Fun!23
1033,Angela,English,2/27/28,Employee,11306.25,0,true,angelaenglish,Fun!23
1032,Kimberly,Harris,7/18/32,Employee,5174.77,0,false,kimberlyharris,Fun!23
1031,Wendy,Phillips,2/23/60,Employee,10698.49,0,false,wendyphillips,Fun!23
1030,Vanessa,Carson,7/12/90,Employee,5430.97,0,true,vanessacarson,Fun!23
1029,Jessica,Smith,7/3/76,Employee,13370.18,0,false,jessicasmith,Fun!23
1028,Stephen,Peters,7/6/71,Employee,8800.13,0,false,stephenpeters,Fun!23
1027,Erin,Barton,1/8/73,Employee,13574.75,0,false,erinbarton,Fun!23
1026,Timothy,Wagner,6/5/17,Employee,8005.23,0,true,timothywagner,Fun!23
840,Sandra,Newton,1/19/84,Employee,8183.91,0,false,sandranewton,Fun!23
1025,Maria,Kelly,2/15/17,Employee,8584.64,0,true,mariakelly,Fun!23
841,Victor,Anderson,9/29/82,Employee,13281.7,0,false,victoranderson,Fun!23
842,Dana,Miller,2/27/13,Employee,13475.2,0,true,danamiller,Fun!23
600,Jennifer,Smith,12/15/56,Employee,2991.97,0,true,jennifersmith,Fun!23
1024,Kristen,Martinez,9/9/96,Employee,7890.38,0,true,kristenmartinez,Fun!23
1023,Lisa,Yu,5/4/20,Employee,3310.0,0,true,lisayu,Fun!23
601,David,Harvey,6/15/43,Employee,7051.27,0,false,davidharvey,Fun!23
843,Kevin,Tran,5/13/60,Employee,14182.93,0,false,kevintran,Fun!23
844,Linda,Miller,11/29/61,Employee,6898.47,0,false,lindamiller,Fun!23
602,Shannon,White,6/28/81,Employee,4867.69,0,true,shannonwhite,Fun!23
845,Jacob,Norton,5/1/63,Employee,12247.69,0,true,jacobnorton,Fun!23
603,Brian,Gates,2/22/71,Employee,13781.75,0,false,briangates,Fun!23
604,Victor,Ross,8/11/00,Employee,8424.8,0,true,victorross,Fun!23
846,Joshua,Gomez,7/14/74,Employee,12980.18,0,true,joshuagomez,Fun!23
605,Antonio,Edwards,8/5/53,Employee,3263.32,0,false,antonioedwards,Fun!23
847,Robin,Wilson,7/7/56,Employee,3347.76,0,true,robinwilson,Fun!23
606,Lawrence,Price,12/14/84,Employee,10578.1,0,false,lawrenceprice,Fun!23
848,Amy,Parsons,1/23/87,Employee,14820.23,0,false,amyparsons,Fun!23
849,Philip,Holt,1/10/64,Employee,12189.3,0,false,philipholt,Fun!23
607,Sarah,Cline,8/21/74,Employee,7229.47,0,true,sarahcline,Fun!23
608,Linda,Robles,7/2/57,Employee,8189.07,0,false,lindarobles,Fun!23
609,Amber,Nguyen,10/31/49,Employee,12581.19,0,false,ambernguyen,Fun!23
1039,Kendra,Sawyer,4/21/49,Employee,6333.7,0,false,kendrasawyer,Fun!23
850,Alison,Hicks,9/2/40,Employee,8886.9,0,true,alisonhicks,Fun!23
1038,Amanda,Baker,9/10/95,Employee,11365.05,0,true,amandabaker,Fun!23
851,Alexander,Wilson,11/16/52,Employee,5644.08,0,true,alexanderwilson,Fun!23
1037,Cory,Byrd,1/12/98,Employee,4203.65,0,true,corybyrd,Fun!23
852,Nicole,Lloyd,12/2/12,Employee,6008.18,0,false,nicolelloyd,Fun!23
610,Rick,Parrish,8/4/32,Employee,3984.24,0,true,rickparrish,Fun!23
1036,Shelly,Jones,11/23/85,Employee,3871.33,0,true,shellyjones,Fun!23
611,Edward,Molina,12/20/09,Employee,10414.86,0,false,edwardmolina,Fun!23
1035,Brooke,Maxwell,6/21/19,Employee,4899.55,0,false,brookemaxwell,Fun!23
853,Michael,Clarke,5/14/42,Employee,4051.73,0,true,michaelclarke,Fun!23
612,Darren,Gibbs,3/13/06,Employee,4248.92,0,false,darrengibbs,Fun!23
1034,Taylor,Johnson,6/29/52,Employee,12086.35,0,true,taylorjohnson,Fun!23
854,Nicholas,Smith,2/20/65,Employee,6018.09,0,false,nicholassmith,Fun!23
613,Andrew,Mcclure,12/21/05,Employee,9537.31,0,true,andrewmcclure,Fun!23
855,Laurie,Johnson,10/18/28,Employee,11631.89,0,true,lauriejohnson,Fun!23
